# Measurement : DC Voltage
# Unit        : V
Timestamp,HP 3458A
2026-03-22 15:19:09.728,
2026-03-22 15:19:09.854,-9.010854148
2026-03-22 15:19:09.982,-9.018660099
2026-03-22 15:19:10.109,-9.022581804
2026-03-22 15:19:10.237,-9.02843386
2026-03-22 15:19:10.362,-9.032338263
2026-03-22 15:19:10.492,-9.03631776
2026-03-22 15:19:10.617,-9.042069392
2026-03-22 15:19:10.744,-9.045983427
2026-03-22 15:19:10.872,-9.051140185
2026-03-22 15:19:10.999,-9.054245478
2026-03-22 15:19:11.126,-9.057994518
2026-03-22 15:19:11.257,-9.065075562
2026-03-22 15:19:11.380,-9.07092851
2026-03-22 15:19:11.506,-9.076438625
2026-03-22 15:19:11.633,-9.083169702
2026-03-22 15:19:11.759,-9.087383046
2026-03-22 15:19:11.887,-9.093015347
2026-03-22 15:19:12.015,-9.09741295
2026-03-22 15:19:12.138,-9.101300943
2026-03-22 15:19:12.265,-9.107476032
2026-03-22 15:19:12.391,-9.110722239
2026-03-22 15:19:12.518,-9.113955425
2026-03-22 15:19:12.645,-9.118932205
2026-03-22 15:19:12.776,-9.122489851
2026-03-22 15:19:12.900,-9.127614324
2026-03-22 15:19:13.026,-9.131475739
2026-03-22 15:19:13.153,-9.135266518
2026-03-22 15:19:13.281,-9.137234684
2026-03-22 15:19:13.406,-9.144717424
2026-03-22 15:19:13.532,-9.148941114
2026-03-22 15:19:13.660,-9.154661709
2026-03-22 15:19:13.786,-9.15791291
2026-03-22 15:19:13.914,-9.161668015
2026-03-22 15:19:14.039,-9.167317261
2026-03-22 15:19:14.166,-9.170601104
2026-03-22 15:19:14.293,-9.176229837
2026-03-22 15:19:14.425,-9.179532767
2026-03-22 15:19:14.548,-9.183176032
2026-03-22 15:19:14.674,-9.188885033
2026-03-22 15:19:14.803,-9.192737529
2026-03-22 15:19:14.930,-9.196200459
2026-03-22 15:19:15.058,-9.202321679
2026-03-22 15:19:15.188,-9.206154198
2026-03-22 15:19:15.313,-9.212466099
2026-03-22 15:19:15.440,-9.216542453
2026-03-22 15:19:15.567,-9.22010545
2026-03-22 15:19:15.694,-9.22531465
2026-03-22 15:19:15.822,-9.228929375
2026-03-22 15:19:15.950,-9.234588075
2026-03-22 15:19:16.074,-9.238447884
2026-03-22 15:19:16.202,-9.242086333
2026-03-22 15:19:16.329,-9.247622669
2026-03-22 15:19:16.455,-9.251523326
2026-03-22 15:19:16.582,-9.255112187
2026-03-22 15:19:16.713,-9.260798178
2026-03-22 15:19:16.837,-9.264654955
2026-03-22 15:19:16.964,-9.268352267
2026-03-22 15:19:17.091,-9.273992416
2026-03-22 15:19:17.219,-9.277633719
2026-03-22 15:19:17.345,-9.283290634
2026-03-22 15:19:17.470,-9.286981525
2026-03-22 15:19:17.601,-9.290749294
2026-03-22 15:19:17.725,-9.296297759
2026-03-22 15:19:17.852,-9.300090144
2026-03-22 15:19:17.980,-9.303845427
2026-03-22 15:19:18.108,-9.309483078
2026-03-22 15:19:18.233,-9.313252631
2026-03-22 15:19:18.360,-9.315125189
2026-03-22 15:19:18.485,-9.322560125
2026-03-22 15:19:18.610,-9.326326646
2026-03-22 15:19:18.736,-9.332000686
2026-03-22 15:19:18.864,-9.335746515
