# Function: DC Voltage
# Unit: V
# Captured: 2026-02-07 07:56:28
# Points: 20
Timestamp,Value
2026-02-07 07:56:10.828,0.000147412
2026-02-07 07:56:11.675,1.998E-06
2026-02-07 07:56:12.538,-0.00041109
2026-02-07 07:56:13.386,0.000108351
2026-02-07 07:56:14.249,0.000127675
2026-02-07 07:56:15.112,0.000146832
2026-02-07 07:56:15.975,9.6362E-05
2026-02-07 07:56:16.838,0.000113224
2026-02-07 07:56:17.701,9.72E-05
2026-02-07 07:56:18.549,0.000119889
2026-02-07 07:56:19.411,0.000113186
2026-02-07 07:56:20.275,0.000101635
2026-02-07 07:56:21.138,0.000119232
2026-02-07 07:56:21.985,0.000102718
2026-02-07 07:56:22.832,0.000103195
2026-02-07 07:56:23.711,0.000103865
2026-02-07 07:56:24.559,9.3797E-05
2026-02-07 07:56:25.406,0.000114733
2026-02-07 07:56:26.253,0.000102009
2026-02-07 07:56:27.100,0.000117646
