# Measurement : DC Voltage
# Unit        : V
Timestamp,HP 34401A,HP 34401A
2026-03-20 18:55:51.979,5.0298416,5.0297565
2026-03-20 18:55:55.141,5.0298416,5.0297551
2026-03-20 18:55:58.303,5.0298377,5.0297511
2026-03-20 18:56:01.454,5.0298351,5.0297525
2026-03-20 18:56:04.611,5.0298403,5.0297551
2026-03-20 18:56:07.777,5.029839,5.0297525
2026-03-20 18:56:10.932,5.0298403,5.0297538
2026-03-20 18:56:14.078,5.0298403,5.0297551
2026-03-20 18:56:17.223,5.029839,5.0297538
2026-03-20 18:56:20.386,5.029839,5.0297578
2026-03-20 18:56:23.547,5.0298429,5.0297591
2026-03-20 18:56:26.696,5.029839,5.0297551
2026-03-20 18:56:29.855,5.0298416,5.0297565
2026-03-20 18:56:33.009,5.0298416,5.0297538
2026-03-20 18:56:36.158,5.029839,5.0297551
2026-03-20 18:56:39.307,5.0298442,5.0297578
2026-03-20 18:56:42.457,5.0298403,5.0297538
2026-03-20 18:56:45.599,5.0298429,5.0297551
2026-03-20 18:56:48.741,5.0298429,5.0297565
2026-03-20 18:56:52.123,5.0298442,5.0297565
2026-03-20 18:56:55.278,5.0298455,5.0297578
2026-03-20 18:56:58.422,5.0298442,5.0297578
2026-03-20 18:57:01.585,5.0298416,5.0297578
2026-03-20 18:57:04.742,5.029848,5.0297618
2026-03-20 18:57:07.892,5.0298429,5.0297591
2026-03-20 18:57:11.045,5.0298416,5.0297578
2026-03-20 18:57:14.186,5.0298429,5.0297618
2026-03-20 18:57:17.332,5.0298416,5.0297604
2026-03-20 18:57:20.466,5.0298429,5.0297578
2026-03-20 18:57:23.692,5.0298429,5.0297565
2026-03-20 18:57:26.851,5.029839,5.0297578
2026-03-20 18:57:30.002,5.0298455,5.0297565
2026-03-20 18:57:33.164,5.0298429,5.0297578
2026-03-20 18:57:36.328,5.0298429,5.0297565
2026-03-20 18:57:39.483,5.0298442,5.0297591
2026-03-20 18:57:42.633,5.0298403,5.0297565
2026-03-20 18:57:45.789,5.0298403,5.0297565
2026-03-20 18:57:48.948,5.0298416,5.0297538
2026-03-20 18:57:52.104,5.0298429,5.0297551
2026-03-20 18:57:55.248,5.0298416,5.0297604
2026-03-20 18:57:58.390,5.0298429,5.0297604
2026-03-20 18:58:01.551,5.0298429,5.0297578
2026-03-20 18:58:04.716,5.0298455,5.0297618
2026-03-20 18:58:07.883,5.0298455,5.0297604
